frac_year,tcwv
2016.6139856557377,56.8
2016.614042568306,57.0
2016.6140995081967,56.7
2016.614156420765,56.6
2016.6142133333333,57.2
2016.614270273224,57.3
2016.6143271857923,57.4
2016.6143840983607,57.9
2016.6144410382515,58.0
2016.6144979508197,58.0
2016.6145548633879,57.6
2016.6146118032786,57.7
2016.614668715847,58.1
2016.6147256284153,58.0
2016.6175148087432,63.2
2016.6175717213114,63.2
2016.6176286338798,63.8
2016.6176855737706,64.0
2016.6177424863388,63.9
2016.6177993989072,63.9
2016.6178563387978,63.9
2016.6179132513662,64.3
2016.6179701639344,64.3
2016.6180271038252,64.3
2016.6180840163934,64.5
2016.6181409289618,64.5
2016.6181978688523,64.0
2016.6182547814208,64.2
2016.618311693989,64.5
2016.6183686338798,63.9
2016.6184255464482,64.0
2016.6184824590164,64.6
2016.6185393989072,65.0
2016.6185963114754,65.2
2016.6186532240438,65.7
2016.6187101639343,66.4
2016.6187670765028,66.4
2016.618823989071,66.1
2016.6188809289617,66.2
2016.61893784153,66.2
2016.6189947540984,65.8
2016.6190516939891,65.8
2016.6191086065573,66.3
2016.6191655191258,66.5
2016.6192224590163,65.6
2016.6192793715848,64.5
2016.619336284153,64.5
2016.6193932240437,64.2
2016.619450136612,63.9
2016.6195070491804,64.5
2016.6195639890711,65.3
2016.6196209016393,65.3
2016.6196778142078,65.0
2016.6197347540983,65.3
2016.6197916666667,65.4
2016.619848579235,65.9
2016.6199055191257,66.4
2016.619962431694,66.0
2016.6200193442623,64.3
2016.620076284153,64.4
2016.6201331967213,63.9
2016.6201901092895,62.6
2016.6202470491803,63.8
2016.6203039617487,63.0
2016.620360874317,60.2
2016.6204178142077,59.5
2016.620474726776,60.8
2016.6205316393443,62.2
2016.620588579235,60.6
2016.6206454918033,58.2
2016.6207024043715,58.2
2016.6207593442623,57.2
2016.6208162568305,56.7
2016.620873169399,57.4
2016.6209301092897,55.9
2016.620987021858,54.6
2016.6210439344263,54.8
2016.6211008743169,54.5
2016.6211577868853,55.3
2016.6212146994535,57.2
2016.6212716393443,59.6
2016.6213285519125,60.0
2016.621385464481,58.6
2016.6214424043717,56.5
2016.62149931694,58.1
2016.621556229508,59.7
2016.6216131693989,60.9
2016.6216700819673,62.6
2016.6217269945355,61.6
2016.6217839344263,59.6
2016.6218408469945,55.3
2016.621897759563,54.2
2016.6219546994535,53.9
2016.6220116120219,54.3
2016.62206852459,54.6
2016.6221254644809,52.5
2016.6221823770493,50.6
2016.6222392896175,48.8
2016.6222962295083,47.9
2016.6223531420765,47.3
2016.622410054645,47.7
2016.6224669945354,48.0
2016.6225239071039,48.4
2016.622580819672,49.8
2016.6226377595628,50.5
2016.622694672131,50.6
2016.6227515846995,50.3
2016.6228085245903,51.0
2016.6228654371585,52.3
2016.6229223497269,53.3
2016.6229792896174,53.8
2016.6230362021859,54.1
2016.623093114754,54.9
2016.6231500546448,56.2
2016.623206967213,56.3
2016.6232638797815,55.8
2016.6233208196722,54.8
2016.6233777322404,54.8
2016.6234346448086,54.5
2016.6234915846994,53.0
2016.6235484972678,53.5
2016.623605409836,53.5
2016.6236623497268,53.1
2016.623719262295,54.0
2016.6237761748635,54.0
